iter	Passed	Remaining
0	77	77288
1	104	52371
2	116	38591
3	130	32508
4	140	27868
5	153	25370
6	168	23863
7	183	22710
8	198	21818
9	207	20583
10	222	20008
11	234	19303
12	253	19240
13	273	19252
14	290	19106
15	303	18676
16	317	18350
17	337	18402
18	351	18134
19	366	17935
20	379	17700
21	393	17515
22	404	17176
23	420	17085
24	436	17006
25	449	16842
26	462	16654
27	472	16401
28	487	16311
29	500	16183
30	515	16100
31	529	16004
32	539	15808
33	555	15790
34	567	15647
35	580	15538
36	591	15390
37	601	15226
38	619	15267
39	634	15239
40	662	15503
41	676	15435
42	693	15435
43	706	15353
44	722	15335
45	733	15203
46	746	15132
47	758	15041
48	768	14916
49	787	14953
50	796	14824
51	810	14775
52	823	14723
53	842	14750
54	859	14759
55	870	14681
56	887	14688
57	897	14575
58	907	14479
59	927	14526
60	940	14470
61	957	14490
62	970	14427
63	983	14378
64	992	14276
65	1003	14206
66	1021	14225
67	1053	14444
68	1070	14443
69	1090	14485
70	1103	14439
71	1116	14390
72	1127	14314
73	1142	14293
74	1158	14284
75	1173	14267
76	1190	14274
77	1207	14270
78	1220	14224
79	1231	14161
80	1253	14219
81	1268	14205
82	1289	14241
83	1321	14414
84	1341	14440
85	1354	14391
86	1365	14329
87	1381	14321
88	1390	14230
89	1398	14143
90	1411	14100
91	1420	14022
92	1432	13968
93	1450	13977
94	1459	13905
95	1471	13857
96	1485	13833
97	1503	13835
98	1524	13874
99	1539	13853
100	1550	13804
101	1566	13788
102	1583	13786
103	1599	13780
104	1614	13759
105	1627	13727
106	1641	13701
107	1650	13631
108	1664	13604
109	1678	13584
110	1695	13580
111	1714	13590
112	1729	13576
113	1741	13535
114	1750	13472
115	1763	13441
116	1784	13469
117	1800	13457
118	1817	13457
119	1839	13492
120	1852	13455
121	1867	13437
122	1878	13395
123	1893	13373
124	1912	13385
125	1931	13397
126	1943	13358
127	1954	13316
128	1972	13316
129	1983	13273
130	1999	13262
131	2010	13218
132	2024	13196
133	2039	13179
134	2050	13139
135	2067	13136
136	2090	13168
137	2107	13162
138	2123	13153
139	2142	13160
140	2161	13166
141	2174	13136
142	2189	13119
143	2207	13121
144	2226	13129
145	2240	13104
146	2252	13071
147	2268	13059
148	2282	13036
149	2300	13034
150	2311	12998
151	2336	13035
152	2384	13202
153	2412	13254
154	2437	13289
155	2454	13281
156	2473	13282
157	2497	13307
158	2513	13292
159	2533	13299
160	2549	13287
161	2561	13252
162	2572	13212
163	2593	13221
164	2606	13188
165	2623	13178
166	2632	13128
167	2647	13109
168	2659	13074
169	2671	13041
170	2691	13046
171	2703	13015
172	2720	13003
173	2733	12975
174	2749	12961
175	2761	12927
176	2774	12899
177	2796	12913
178	2816	12919
179	2830	12894
180	2847	12884
181	2864	12875
182	2885	12883
183	2896	12844
184	2910	12820
185	2924	12796
186	2935	12763
187	2957	12773
188	2967	12733
189	2990	12749
190	3006	12735
191	3026	12734
192	3045	12736
193	3064	12730
194	3085	12736
195	3099	12713
196	3116	12704
197	3129	12677
198	3151	12684
199	3162	12650
200	3177	12631
201	3193	12616
202	3205	12585
203	3219	12560
204	3231	12530
205	3246	12512
206	3257	12478
207	3272	12459
208	3288	12445
209	3301	12418
210	3317	12404
211	3330	12379
212	3347	12368
213	3358	12335
214	3373	12316
215	3385	12286
216	3398	12262
217	3411	12238
218	3422	12206
219	3434	12177
220	3448	12154
221	3461	12129
222	3474	12107
223	3483	12068
224	3498	12051
225	3513	12034
226	3530	12022
227	3547	12011
228	3560	11988
229	3576	11974
230	3591	11955
231	3605	11934
232	3615	11901
233	3628	11877
234	3645	11866
235	3662	11855
236	3677	11839
237	3690	11815
238	3707	11805
239	3723	11790
240	3740	11781
241	3755	11764
242	3771	11750
243	3783	11721
244	3796	11699
245	3808	11674
246	3821	11650
247	3837	11637
248	3851	11616
249	3864	11592
250	3874	11561
251	3886	11536
252	3899	11512
253	3910	11486
254	3930	11483
255	3944	11464
256	3958	11443
257	3973	11426
258	3995	11431
259	4009	11412
260	4032	11418
261	4050	11409
262	4070	11405
263	4087	11395
264	4104	11383
265	4123	11379
266	4139	11363
267	4156	11353
268	4170	11334
269	4190	11330
270	4210	11325
271	4227	11315
272	4241	11295
273	4258	11282
274	4268	11253
275	4285	11240
276	4296	11213
277	4309	11191
278	4324	11175
279	4334	11145
280	4348	11126
281	4363	11110
282	4375	11086
283	4389	11066
284	4400	11040
285	4411	11013
286	4423	10990
287	4435	10966
288	4455	10960
289	4468	10940
290	4487	10932
291	4500	10912
292	4520	10907
293	4535	10890
294	4562	10903
295	4589	10914
296	4607	10905
297	4626	10898
298	4642	10884
299	4658	10868
300	4671	10848
301	4684	10826
302	4695	10801
303	4709	10781
304	4723	10762
305	4734	10737
306	4747	10716
307	4759	10692
308	4772	10671
309	4792	10667
310	4807	10649
311	4831	10653
312	4852	10650
313	4869	10639
314	4891	10638
315	4909	10626
316	4927	10616
317	4959	10635
318	4984	10640
319	5001	10627
320	5020	10620
321	5034	10601
322	5052	10589
323	5071	10580
324	5087	10566
325	5103	10551
